Date,Time,Classification_Code,Crime_Cat,Cat_Num,Latitude,Longitude
1/11/2017,14:30:00,578,VIOLATION,1,40.707674168,-73.95838901
1/7/2017,2:50:00,105,FELONY,0,40.698576137,-73.911399992
6/28/2017,12:00:00,109,FELONY,0,40.681079382,-73.949716517
3/19/2017,21:00:00,113,FELONY,0,40.696081996,-73.943159874
4/9/2017,1:10:00,106,FELONY,0,40.862786817,-73.906159603
4/28/2017,22:20:00,126,FELONY,0,40.697154046,-73.94086896
7/28/2017,20:00:00,351,MISDEMEANOR,2,40.700601637,-73.854566254
5/31/2017,14:50:00,235,MISDEMEANOR,2,40.622864901,-74.02684927
2/4/2017,16:40:00,351,MISDEMEANOR,2,40.866672993,-73.864424076
7/29/2017,7:00:00,113,FELONY,0,40.75728662,-73.911542086
3/24/2017,2:05:00,578,VIOLATION,1,40.739179416,-73.983946905
5/2/2017,23:00:00,106,FELONY,0,40.84150434,-73.924849353
4/30/2017,18:10:00,109,FELONY,0,40.753532701,-73.994536892
9/8/2017,12:00:00,341,MISDEMEANOR,2,40.710702575,-73.936402256
5/10/2017,13:00:00,343,MISDEMEANOR,2,40.807567595,-73.919227223
5/12/2017,20:34:00,344,MISDEMEANOR,2,40.69522897,-73.976211379
9/20/2017,18:05:00,235,MISDEMEANOR,2,40.811862362,-73.935500005
4/30/2017,12:00:00,344,MISDEMEANOR,2,40.696725185,-73.925517421
3/28/2017,23:35:00,341,MISDEMEANOR,2,40.707151859,-74.004531637
6/14/2017,12:26:00,578,VIOLATION,1,40.632465744,-74.118638182
8/14/2017,10:30:00,578,VIOLATION,1,40.748154582,-73.71946155
6/28/2017,14:20:00,359,MISDEMEANOR,2,40.836652522,-73.907146909
4/30/2017,12:00:00,109,FELONY,0,40.832533735,-73.919467937
1/30/2017,10:30:00,105,FELONY,0,40.663484887,-73.989433113
6/4/2017,4:50:00,348,MISDEMEANOR,2,40.736323367,-73.851341741
9/21/2017,23:40:00,341,MISDEMEANOR,2,40.675411501,-73.87191498
4/17/2017,22:00:00,344,MISDEMEANOR,2,40.6944925,-73.9373445
9/2/2017,10:00:00,106,FELONY,0,40.847581204,-73.902899126
3/11/2017,7:30:00,106,FELONY,0,40.661940404,-73.921029137
1/9/2017,9:00:00,578,VIOLATION,1,40.658758183,-73.942434788
6/15/2017,12:34:00,236,MISDEMEANOR,2,40.853587401,-73.900591356
8/18/2017,2:25:00,350,MISDEMEANOR,2,40.832941761,-73.935432593
2/3/2017,9:00:00,109,FELONY,0,40.707519528,-74.007099746
3/16/2017,3:00:00,344,MISDEMEANOR,2,40.820240345,-73.908683644
1/7/2017,16:35:00,106,FELONY,0,40.757265794,-73.938602943
6/12/2017,21:00:00,578,VIOLATION,1,40.608452701,-73.976386357
3/3/2017,14:30:00,235,MISDEMEANOR,2,40.580045083,-74.108011526
7/21/2017,16:40:00,344,MISDEMEANOR,2,40.722273155,-73.976342426
4/25/2017,6:05:00,110,FELONY,0,40.695301276,-73.865688528
7/17/2017,21:45:00,578,VIOLATION,1,40.827368726,-73.902404685
1/29/2017,15:00:00,341,MISDEMEANOR,2,40.814298818,-73.899728815
4/17/2017,15:00:00,109,FELONY,0,40.665136405,-73.907724493
2/7/2016,10:30:00,341,MISDEMEANOR,2,40.823499964,-73.858618987
7/27/2017,9:00:00,107,FELONY,0,40.712076136,-73.964713126
11/5/2015,0:00:00,109,FELONY,0,40.675296575,-73.877276015
12/22/2016,14:00:00,109,FELONY,0,40.746796062,-73.983674396
4/12/2017,18:25:00,235,MISDEMEANOR,2,40.884046165,-73.904867458
1/29/2017,2:00:00,110,FELONY,0,40.689027067,-73.834358991
2/5/2017,5:00:00,106,FELONY,0,40.675586955,-73.933263224
1/31/2017,22:30:00,578,VIOLATION,1,40.815733075,-73.848350047
3/12/2017,5:30:00,344,MISDEMEANOR,2,40.606166743,-73.759439499
1/20/2017,11:00:00,361,MISDEMEANOR,2,40.673353666,-73.790182344
6/10/2017,13:07:00,344,MISDEMEANOR,2,40.697934585,-73.989932542
7/12/2017,16:30:00,351,MISDEMEANOR,2,40.551627387,-74.218538782
7/19/2017,20:30:00,361,MISDEMEANOR,2,40.794980601,-73.972549694
4/30/2017,0:19:00,361,MISDEMEANOR,2,40.87187958,-73.879151375
3/31/2017,2:00:00,106,FELONY,0,40.8472597,-73.862110641
7/28/2017,17:45:00,578,VIOLATION,1,40.728462583,-73.950438444
8/17/2017,8:00:00,344,MISDEMEANOR,2,40.860739392,-73.835240023
8/25/2017,16:30:00,341,MISDEMEANOR,2,40.759926328,-73.96778129
2/13/2017,14:30:00,578,VIOLATION,1,40.847829308,-73.907554201
2/16/2017,12:50:00,361,MISDEMEANOR,2,40.688208298,-73.930109927
8/28/2017,12:35:00,341,MISDEMEANOR,2,40.794515091,-73.966323533
9/23/2017,17:00:00,107,FELONY,0,40.820813368,-73.907898837
7/30/2017,1:45:00,341,MISDEMEANOR,2,40.672230146,-73.806909291
3/20/2017,15:00:00,341,MISDEMEANOR,2,40.755660089,-73.975218854
9/28/2017,2:00:00,578,VIOLATION,1,40.838965609,-73.882315579
2/16/2017,18:20:00,341,MISDEMEANOR,2,40.715210572,-73.999640719
4/16/2017,9:30:00,236,MISDEMEANOR,2,40.829470055,-73.861146576
9/24/2017,3:40:00,110,FELONY,0,40.870792818,-73.884649242
7/7/2017,12:55:00,359,MISDEMEANOR,2,40.854025815,-73.929389861
1/23/2017,15:20:00,344,MISDEMEANOR,2,40.712191102,-73.963703075
