id,name,latitude,longitude,price
41386,"Apt.in landmark Brownstone, Harlem",40.828905928,-73.943309051,117
41513,Convenient cozy cheap apt Manhattan,40.8270389839,-73.9490729569,80
41550,1 Bedroom  Apt./ Ft Greene ,40.6925449802,-73.9730116391,110
41959,Artist Studio 5' walk to CentrlPark,40.7905785868,-73.949777513,137
42300,Beautiful Lower East Side Loft,40.7182433475,-73.9931457457,450
42580, Parlor Room In Victorian Townhouse,40.6884307335,-73.9640830001,70
42729,House On Henry (2nd FLR Suite),40.6782973292,-74.0013483806,165
42744,"Charming, Spacious, Private, Yours",40.7900225975,-73.9748198276,899
42882,New York room with a view,40.645241679,-74.0808796743,70
43656,West Village Penthouse,40.7331698949,-74.0005455448,280
43957,Sunny cozy room in Brklyn townhouse,40.7064068097,-73.9176506245,50
44096,Room with a View,40.8323158218,-73.9318352086,36
44145,Hell's Kitchen funky 80's hideaway!!,40.7636712035,-73.9936385578,149
44161,Light+Open+Airy+Rustic+Modern Loft,40.7104545175,-73.9676982891,150
44212,West Inn 2 - East Village,40.7251782204,-73.9803427236,125
44221,Financial District Luxury Loft,40.7066619796,-74.0137413205,225
44229,BROOKLYN VICTORIAN STYLE SUITE.....,40.6909844702,-73.9711331247,110
44288,Private Lovely West Village Studio,40.7383668848,-74.0027574432,150
44472,Large Artists Designer Loft in NoHo,40.7282523494,-73.9928625346,385
44506,ACCOMMODATIONS GALORE#3. 1-5 GUESTS,40.8152563789,-73.9479087416,165
44698,cozy room SMILE as  you dream.,40.833055014,-73.8713307114,45
45556,"Ft. Greene, Brooklyn:Middle Bedroom",40.6886346592,-73.9769113993,75
45689,Fully Furnished 2BR - West Village,40.7383639154,-74.0044780941,395
45910,Beautiful Queens Brownstone! - 5BR,40.7038184183,-73.8979685753,370
45936,Couldn't Be Closer To Columbia Uni,40.8054933218,-73.9592369284,99
45940,Bright Spacious Condo,40.7162684242,-73.958697927,100
46544,Park Slope haven 15 mins from Soho,40.6799387827,-73.9786287443,150
46723,SAFE  AND BEAUTIFUL ACCOMODATION,40.6799185356,-73.9475018679,90
46859,Stay at the CozySuite Meridian,40.6867482229,-73.9322114963,59
46911,Large Room in private Brownstone in Park Slope,40.678682508,-73.973070954,120
47199,"NEW YORK CITY, 1 BDRM.(NEAR CENTRAL PARK & METRO)",40.7683419943,-73.9533368126,70
47362,"LARGE, COMFY 1BDR W/CHARACTER!!!",40.6823658374,-73.9414967911,175
47370,Chelsea Studio sublet 1 - 2 months,40.740305911,-73.9999875704,125
48719,Designer 1 BR Duplex w/ Terrace- Spectacular Views,40.7188242313,-73.9885152367,299
49715,Beautiful Room in Central Harlem,40.8058205829,-73.953402806,95
50174,"Spacious, Spotless 1Bd- BK Heights!",40.6924860929,-73.998052973,160
50726,Sunny + Spacious Brownstone Haven,40.6737088192,-73.9487129113,165
51438,1 Bedroom in 2 Bdrm Apt- Upper East,40.7733290889,-73.9519857604,130
51485,Lower East Side $60~/night,40.7231943924,-73.9920069364,83
51510,Great East Village Bedroom,40.7269150527,-73.9797635396,117
51533,Spacious Williamsburg BK 1br Apt ,40.7111434095,-73.9526966897,190
51572,Prime Location in Manhattan,40.7485903968,-73.9967087102,119
51778,The artist's house,40.655282464,-73.9559227019,40
51850,Excellent/Pvt Rm,40.6725242444,-73.765973747,55
51852,Private Rm2/With Pvt Bath,40.6722106865,-73.7657716586,58
52123,ONLY 10 min. AWAY from Midtown ,40.7599920063,-73.9288132611,155
52549,The artist's house part 2,40.6565089845,-73.9574787425,35
52757,"Park Slope - Big, Bright and Sunny",40.6634426854,-73.9923866324,65
53016,Bright &Spacious 3brm Crown Heights,40.6729120867,-73.9534131659,225
53137,"Quiet, sunny Midtown Manhattan apt.",40.7624352547,-73.9927107934,195
53196,Big Room/Washer-Dryer/Wifi/AC/JMZ,40.6954561941,-73.93503022,80
53469,cozy studio with parking spot,40.7172192371,-73.8785621509,98
53470,Clean and convenient 2BR apartment,40.7023430016,-73.8981556548,165
53477,Nice Queens townhouse with parking,40.7154632991,-73.878538425,265
53630,"Near Central Park, Clean, Safe, near subways",40.8013610336,-73.9625010348,69
53758,ARTY BOHEMIAN PRVT ROOM,40.7268142422,-73.9877723484,99
53843,Sunny Brooklyn studio,40.6424633304,-73.9643788591,60
54040,"Park Slope - Big, Bright and Sunny",40.6614109529,-73.9943675037,190
54158,The Institute—Heart of Williamsburg,40.7194966842,-73.9597598686,249
54163,Private Room & Office in Shared Williamsburg Apt.,40.7127374723,-73.9541929779,75
54453,MIDTOWN WEST - Large alcove studio,40.7654769683,-73.9847385984,105
54508,Sml Rm in pr Brst  Park Sl great for Med/students,40.6786970868,-73.9726158517,100
54544,City Room - Private Penthouse Apt.,40.8103488095,-73.9459833998,140
54626,Cozy bedroom by Yankee Stadium,40.8307528601,-73.9305847727,42
54694,Great Deal/Pvt Rm,40.672311126,-73.7661324945,55
54860,Great apartment with private bathroom and entrance,40.7995815916,-73.9427491658,100
55320,Peaceful & Cozy 1Br Apt in Residential Harlem,40.8061337556,-73.947369614,90
55467,Private Garden Apt • New Renovation,40.7162478186,-73.9384545545,140
55505,Nature-Themed Studio Apartment,40.6951566149,-73.9244028704,115
55565,Cosy Cool Apt By JMZ w/Washer-Dryer + Roof Space,40.6962539032,-73.9369584957,120
55668,"NOHO/EAST VILLAGE, PRIVATE 1/2 BATH",40.7277324291,-73.9913435902,130
55737,Sleek & Comfortable Soho Apt,40.7286149642,-74.0049002217,199
55959,Spacious Williamsburg Share w/ LOFT BED,40.7097939194,-73.9516167895,69
55982,Cozy 2 br in sunny Fort Greene apt,40.6865595969,-73.9752491995,62
56027,Charming Apt West of Times Square,40.7596891078,-73.9939652015,110
56467,Cozy East Village Railroad 1 Bed!,40.7275195679,-73.9843153725,130
56475,MODERN 2 BED 2 BATH HEART OF WILLIAMSBURG!,40.7198651699,-73.9615076943,329
56859,City Room - Private & Comfy Bedroom,40.8121906011,-73.9449882359,75
57161,Cozy Studio Apt.,40.8222298596,-73.9466125399,75
57166,Elegant NYC Pad,40.7718500112,-73.9050239026,140
57297,"Cozy 1BR in Cobble Hill, GREAT loc!",40.6892593727,-73.9938628043,139
57468,"Modern, Large East Village Loft ",40.7282105554,-73.9870090327,189
